date,mean,mean_se,mean_ci_lower,mean_ci_upper,Sucursal,Cadena,Recurso
2021-05-24,291.7125526712099,148.44047011972899,0.7745773883470406,582.6505279540727,Norte 286,SA,68524 Alimentos
2021-05-31,270.8995190941145,149.22386421596943,-21.57388040308092,563.3729185913099,Norte 286,SA,68524 Alimentos
2021-06-07,245.07418613357555,149.67205245046276,-48.277646161521375,538.4260184286725,Norte 286,SA,68524 Alimentos
2021-06-14,272.581108621835,150.11092937480024,-21.630906638609076,566.7931238822791,Norte 286,SA,68524 Alimentos
2021-06-21,302.708092938378,150.54829994906774,7.6388471044719495,597.7773387722841,Norte 286,SA,68524 Alimentos
2021-06-28,222.60616563790256,150.98439686244538,-73.31781443999273,518.5301457157979,Norte 286,SA,68524 Alimentos
2021-07-05,399.44420158721164,151.4192375881858,102.66794934785383,696.2204538265694,Norte 286,SA,68524 Alimentos
2021-07-12,236.1477374657992,151.85283311684987,-61.47834639359775,533.7738213251962,Norte 286,SA,68524 Alimentos
2021-07-19,181.43588004067414,152.2851940911159,-117.03761575660485,479.9093758379531,Norte 286,SA,68524 Alimentos
2021-07-26,383.5766597291572,152.7163309967901,84.25815112435072,682.8951683339637,Norte 286,SA,68524 Alimentos
2021-08-02,418.27435788559404,153.14625417186465,118.11321534152233,718.4355004296658,Norte 286,SA,68524 Alimentos
2021-08-09,270.4941110578176,153.57497380962027,-30.507306535720204,571.4955286513554,Norte 286,SA,68524 Alimentos
2021-08-16,235.35858891868156,154.0024999614544,-66.48076453490012,537.1979423722632,Norte 286,SA,68524 Alimentos
2021-08-23,247.21049679666805,154.4288425396304,-55.46447275521456,549.8854663485506,Norte 286,SA,68524 Alimentos
2021-08-30,221.46989231639196,154.85401131995954,-82.03839273228658,524.9781773650705,Norte 286,SA,68524 Alimentos
2021-09-06,251.25104150930417,155.27801594441618,-53.088277332587836,555.5903603511962,Norte 286,SA,68524 Alimentos
2021-09-13,243.07341473883008,155.70086592368895,-62.09467483330002,548.2415043109602,Norte 286,SA,68524 Alimentos
2021-09-20,230.4745862265326,156.12257063967016,-75.52002940103137,536.4692018540966,Norte 286,SA,68524 Alimentos
2021-09-27,298.6912504793886,156.54313934788632,-8.127664669303613,605.5101656280808,Norte 286,SA,68524 Alimentos
2021-10-04,237.8516332520864,156.96258117991172,-69.7893727809851,545.4926392851579,Norte 286,SA,68524 Alimentos
2021-10-11,232.60310271428392,157.3809051466327,-75.85780322743062,541.0640086559985,Norte 286,SA,68524 Alimentos
2021-10-18,220.86670830606084,157.79812016143498,-88.41192403847549,530.1453406505972,Norte 286,SA,68524 Alimentos
2021-10-25,268.8362815781301,158.21423550574215,-41.257921854662754,578.930485010923,Norte 286,SA,68524 Alimentos
2021-11-01,292.6457768725533,158.629271054707,-18.261881288514473,603.5534350336211,Norte 286,SA,68524 Alimentos
2021-11-08,244.32280778396012,159.0433898050492,-67.39650821310113,556.0421237810214,Norte 286,SA,68524 Alimentos
2021-11-15,297.6356842280234,159.38105285136655,-14.745439178729896,610.0168076347768,Norte 286,SA,68524 Alimentos
